FID,ID_PARADA,CODI_PARADA,NOM_PARADA,DESC_PARADA,CODI_INTERC,NOM_INTERC,NOM_TIPUS_PARADA,NOM_TIPUS_SIMPLE_PARADA,DESC_TIPUS_PARADA,TIPIFICACIO_PARADA,ADRECA,ID_POBLACIO,NOM_POBLACIO,ID_DISTRICTE,NOM_DISTRICTE,DATA,NOM_VIA,NOM_PROPERA_VIA,GEOMETRY,PUNTS_PARADA
PARADES_ACTIVES.674860,674860,51,Hospital Vall d'Hebron - Natzaret,Natzaret/Arquitectura,0,,PALFIX,Pal,Parada Palfix,N,"Natzaret, 86-100",748,Barcelona,627,Horta-Guinardó,2024-12-06,Carrer de Natzaret,Carrer de l'Arquitectura,POINT (2.1382663104658888 41.42938365016152),1
PARADES_ACTIVES.674501,674501,52,Metro Montbau - Hospital Vall d'Hebron,Pg. Vall d'Hebron/Arquitectura,43,Vall d'Hebron,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Pg. Vall d'Hebron, 135-141 (dir. Montbau)",748,Barcelona,627,Horta-Guinardó,2024-12-06,Carrer de l'Arquitectura,Plaça de Zurbarán,POINT (2.144496729721298 41.430145243075344),1
PARADES_ACTIVES.676582,676582,54,Comte d'Urgell - Aragó,Urgell/Aragó,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Comte d'Urgell, 124",748,Barcelona,622,Eixample,2024-12-06,Carrer del Comte d'Urgell,Carrer d'Aragó,POINT (2.1554670442815 41.38457422747997),1
PARADES_ACTIVES.687729,687729,55,Pg de Gràcia - Aragó,Pg. Gràcia/Aragó,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Pg. de Gràcia, 50",748,Barcelona,622,Eixample,2024-12-06,Passeig de Gràcia,Carrer d'Aragó,POINT (2.1655030482429694 41.39179965756838),2
PARADES_ACTIVES.674585,674585,56,Casanova - Aragó,Casanova/Aragó,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,N,"Casanova, 82",748,Barcelona,622,Eixample,2024-12-06,Carrer de Casanova,Carrer d'Aragó,POINT (2.1580170453470986 41.38603896800173),1
PARADES_ACTIVES.676818,676818,58,Aribau - Aragó,Aribau/Aragó,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Aribau, 50",748,Barcelona,622,Eixample,2024-12-06,Carrer d'Aribau,Carrer d'Aragó,POINT (2.1600794243256995 41.38789868801672),1
PARADES_ACTIVES.674898,674898,59,Entença - Consell de Cent,Entença/Aragó,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Entença, 96",748,Barcelona,622,Eixample,2024-12-06,Carrer d'Entença,Carrer d'Aragó,POINT (2.150088317149935 41.38008334392784),1
PARADES_ACTIVES.675058,675058,60,Llúria - Aragó,Roger de Llúria/Aragó,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Roger de Llúria, 66",748,Barcelona,622,Eixample,2024-12-06,Carrer de Roger de Llúria,Carrer d'Aragó,POINT (2.167924800121421 41.393897604496196),1
PARADES_ACTIVES.695673,695673,61,Independència - Consell de Cent,Independència/Aragó,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Independència, 242",748,Barcelona,621,Sant Martí,2024-12-06,Carrer de la Independència,Carrer d'Aragó,POINT (2.185030300125279 41.40660998338062),1
PARADES_ACTIVES.690907,690907,63,Pg de Sant Joan - Aragó,Pg. Sant Joan/Aragó,0,,FOSTER,Marquesina,Marq. Foster 4m,NXB,"Pg. de Sant Joan, 82",748,Barcelona,622,Eixample,2024-12-06,Passeig de Sant Joan,Carrer d'Aragó,POINT (2.17239072613645 41.397386323366476),1
PARADES_ACTIVES.693347,693347,64,Montserrat Roig - Lleó Fontova,Montserrat Roig/Mª Aurelia Capmany,0,,FOSTOF,Marquesina,Marq. Foster O-F,N,Montserrat Roig s/n,749,Cornellà de Llobregat,0,,2024-12-06,Carrer Montserrat Roig,Carretera de Sant Joan Despí,POINT (2.0617715611475007 41.36275493012816),1
PARADES_ACTIVES.691710,691710,65,Josep Tarradellas - Francesc Macià,Josep Tarradellas/Av. Sarrià,0,,NOU4MS,Marquesina,Nova Marq. Pal·li Simple,NXB,"Josep Tarradellas, 155",748,Barcelona,624,Les Corts,2024-12-06,Avinguda de Josep Tarradellas,Avinguda de Sarrià,POINT (2.1437488586846305 41.391602782379884),1
