stop_id,stop_name,coordinates
125,Metro Tetuan,POINT (2.1742188443601735 41.393789594993514)
126,Mercat de la Concepció,POINT (2.1691093559853383 41.39698770791255)
127,Segre - Pl de Can Fabra,POINT (2.1918617726162415 41.43513812081408)
128,Segre - Pl Orfila,POINT (2.1914679018148697 41.43574998725545)
129,Av de Vallcarca - Ballester,POINT (2.1475859832006816 41.409657812495695)
130,Pg Lluís Companys - Parc de la Ciutadella,POINT (2.1835283350133055 41.389501481336666)
133,Via Augusta - Pau Alcover,POINT (2.1259335170955915 41.398431345892206)
134,Pg Bonanova,POINT (2.124037680841094 41.39994326730356)
136,Josep Tarradellas - Av de Sarrià,POINT (2.1440526199555814 41.390958182961526)
137,Floridablanca - Viladomat,POINT (2.158158403744033 41.378171055929236)
138,València - Comte d'Urgell,POINT (2.1545372876502054 41.38602007806764)
139,Mallorca - Comte d'Urgell,POINT (2.1531194246954355 41.386791456092546)
140,Paral·lel - Ronda Sant Pau,POINT (2.167171023936409 41.375061537430504)
146,Rosselló - Bruc,POINT (2.1637444727531334 41.39807508027192)
148,Ronda Sant Pere - Girona,POINT (2.175962376494219 41.390248726563414)
149,Gran Via - Llúria,POINT (2.171675464781671 41.39187016602525)
151,Av de Cornellà - Montesa,POINT (2.0811090743342495 41.369641076953606)
152,Rambla dels Països Catalans - Ptge Formentera,POINT (2.185055566622681 41.491375496905185)
154,Pg Valldaura - Pg Andreu Nin,POINT (2.1825025380125562 41.439280451817474)
156,Espronceda - Pl Islàndia,POINT (2.18824418582476 41.41760570278609)
159,Caracas - Potosí,POINT (2.2026927937669605 41.44405989011592)
160,Badal - Canalejas,POINT (2.1310357888053146 41.37348903225844)
161,Badal - Casteràs,POINT (2.1304562362195405 41.37504928369003)
162,Sagrera - Múrcia,POINT (2.191488105216723 41.417651621553645)
163,Pl d'Amalvígia,POINT (2.10893215340929 41.35234677439494)
164,Santa Rosalia - Besòs,POINT (2.146678885938338 41.42168981635833)
165,València - Villarroel,POINT (2.1556080688367265 41.386831294276554)
166,Mallorca - Muntaner,POINT (2.1567207392689567 41.38951230567803)
167,Gran Via - Casanova,POINT (2.160998552904154 41.38425014553903)
168,Diagonal - Francesc Macià,POINT (2.146354704374655 41.393118404480056)
171,París - Casanova,POINT (2.149974091818243 41.39110071446782)
172,Av Pedralbes - Cavallers,POINT (2.115241014620418 41.393053746962806)
173,Villarroel - Aragó,POINT (2.1565514911672334 41.385291472817606)
174,Pau Claris - Aragó,POINT (2.1669888016324546 41.39275108915127)
175,Balmes - Aragó,POINT (2.1623995664182973 41.389379604639174)
179,Sants - Gayarre,POINT (2.139662114552808 41.375256936771905)
180,Creu Coberta - Pl Espanya,POINT (2.147537069648354 41.375222290137025)
181,Metro Hostafrancs,POINT (2.144563239484807 41.37528131260204)
182,Pg de Gràcia - Consell de Cent,POINT (2.165430072256951 41.39161482811348)
183,Gran Via - Ildefons Cerdà,POINT (2.1365596202150825 41.365825981577444)
185,Av Granvia - Bloc I. Cerdà,POINT (2.131960361018733 41.36178161785347)
187,Escorial - Clínica Nostra Senyora del Remei,POINT (2.159030980339344 41.40980414353249)
189,Via Favència - Trinitat Nova,POINT (2.184214129078352 41.44682485896654)
191,Bac de Roda - Cristóbal de Moura,POINT (2.20326919564353 41.40815239969967)
193,Rambla Prim - Cristóbal de Moura,POINT (2.2124403264720995 41.41615625505865)
195,Can Caralleu,POINT (2.111630496891969 41.40196948613026)
198,Camí de Can Caralleu - Ronda de Dalt,POINT (2.114362878824921 41.401836827411266)
199,Pg Zona Franca - Cisell,POINT (2.142976231673067 41.35439569172771)
200,Pg Zona Franca - Motors,POINT (2.1453392573161976 41.35169467065605)
202,Via Augusta - Calvet,POINT (2.1390946399139517 41.39772022036104)
203,Jutjats de Pau,POINT (2.0730062240054457 41.38509234435473)
204,Floridablanca - Av Mistral,POINT (2.1560563570690774 41.37657697252634)
205,Calàbria - Floridablanca,POINT (2.1570879348578322 41.37821148372946)
206,Gran Via - Calàbria,POINT (2.155512400459925 41.380119777428426)
207,Mallorca - Viladomat,POINT (2.150058386664805 41.38449691799975)
208,París - Viladomat,POINT (2.1454934439318882 41.387722238414725)
209,Paral·lel - Marquès de Campo Sagrado,POINT (2.1637202285090296 41.37509638641384)
211,Via Laietana - Comtal,POINT (2.174463453303189 41.38709220740043)
212,Indústria - Independència,POINT (2.1784752452910014 41.41260736864383)
213,Pg de Sant Joan - Còrsega,POINT (2.167162022644621 41.401504001866066)
214,Casanova - Hospital Clínic,POINT (2.1525714050345073 41.39043940340295)
216,Padilla - Rosselló,POINT (2.1751254298761706 41.407333731023414)
217,Josep Tarradellas - Rosselló,POINT (2.1427012629548194 41.382888214720005)
218,Torrent de l'Olla - Penedès,POINT (2.158727323046332 41.40091508021654)
219,Torrent de l'Olla - Còrsega,POINT (2.1609954116516312 41.398688013184874)
220,Independència - Freser,POINT (2.179503223674564 41.410808806938846)
221,Balmes - Rosselló,POINT (2.156883123055178 41.393560219599635)
222,Aribau - Còrsega,POINT (2.1543190714919183 41.39224908602644)
224,Dos de Maig - Indústria,POINT (2.176938922779015 41.41083032401366)
226,Pau Claris - Gran Via,POINT (2.1693742011485817 41.39094627035072)
227,Marina - Ausiàs Marc,POINT (2.1833245530986236 41.397651786890115)
230,Llúria - Urquinaona,POINT (2.1728372814754957 41.39018667127584)
231,Ronda Guineueta Vella - Antonio Machado,POINT (2.1620560642655713 41.44153677602143)
232,Pl Karl Marx - Pg Vall d'Hebron,POINT (2.1617206930546065 41.440677123792)
233,Sant Antoni Maria Claret - Independència,POINT (2.17698222701601 41.413256705008955)
234,Mallorca - Dos de Maig,POINT (2.180416895405847 41.407311309349694)
236,Aragó - Enamorats,POINT (2.182954598438707 41.40583443597114)
237,Diagonal - Pl Reina Maria Cristina,POINT (2.127385634211721 41.3884442961452)
238,Sinaí,POINT (2.1383590825114958 41.42484758752506)
239,Manuel Girona - Carles III,POINT (2.128122829147893 41.39212705866383)
241,Arquitectura - Àngel Marquès,POINT (2.14118551680058 41.42931528693798)
243,Av Gaudí - Castillejos,POINT (2.1734797106473014 41.410620022470006)
244,València - Padilla,POINT (2.179402818280248 41.40468793175022)
245,Pl de la Font Castellana,POINT (2.1668817752671594 41.41516440643161)
246,Camèlies - Abd el-Kader,POINT (2.164367796643058 41.413864203113775)
250,Diagonal - Manuel Ballbé,POINT (2.11001658665582 41.38404369520258)
251,Diagonal - Parc de Cervantes,POINT (2.10838578727475 41.383630569552686)
252,Portal de la Pau,POINT (2.178541261260127 41.376695172643245)
253,Moll de la Fusta,POINT (2.1802776137911715 41.3788454755641)
254,Pg Colom - Via Laietana,POINT (2.1815733936400634 41.38044931397982)
255,Pg Colom - Via Laietana,POINT (2.1814749994933686 41.380453541797095)
256,Moll de la Fusta,POINT (2.180378609374653 41.379097937082996)
257,Portal de la Pau,POINT (2.1784422836455692 41.37669963692269)
258,Pg Santa Coloma - Pg Torras i Bages,POINT (2.1891607333944743 41.44468611037508)
259,Ctra C-17 - Av l'Alzinar,POINT (2.183156645662981 41.46091007039131)
261,Pg Sant Gervasi - Pl Kennedy,POINT (2.1376594041560275 41.410353092427066)
262,Av República Argentina - Baixada Gomis,POINT (2.142435665897322 41.41160912674851)
263,Av Madrid - Arizala,POINT (2.1251514446372415 41.377041679295715)
264,Av Ferrer i Guàrdia - Mèxic,POINT (2.1498752855210226 41.37116834777214)
265,Poble Espanyol,POINT (2.1462832002458985 41.369413464240246)
266,Gran Vista - Doctor Bové,POINT (2.158197890841306 41.419147619242494)
267,Doctor Bové - Penyal,POINT (2.1627043707657703 41.42106271117878)
268,Doctor Bové - Gran Vista,POINT (2.158382352994321 41.419352572579044)
269,Doctor Bové - Ptge de la Cadernera,POINT (2.1604188081629845 41.42065183349941)
270,Doctor Bové - Baixada Passerell,POINT (2.1601776128076686 41.420639370089845)
271,Doctor Bové - Conca de Tremp,POINT (2.1578332500776494 41.419020739705935)
272,Doctor Bové - Pg de la Font de la Mulassa,POINT (2.163092320829432 41.420911193058764)
273,Hospital del Mar,POINT (2.195020553811086 41.38358010412331)
276,Centre Miquel Martí i Pol,POINT (2.071415850719882 41.36887599412622)
277,Manuel Girona - Capità Arenas,POINT (2.1250047687676954 41.391352109550155)
278,Poble Sec,POINT (2.16047357776078 41.37152594236007)
279,França Xica - Concòrdia,POINT (2.15949684505721 41.37216346980393)
280,França Xica - Grases,POINT (2.156342385655588 41.372081323651855)
281,Pg de Gràcia - Diagonal,POINT (2.160124920212736 41.396140312555424)
282,Casanova - Diagonal,POINT (2.148577460193159 41.393181326959564)
284,Lepant - Diagonal,POINT (2.1792608686008634 41.40242051592534)
285,Muntaner - Diagonal,POINT (2.148915491391299 41.394474043479704)
286,Via Augusta - Diagonal,POINT (2.155036245532214 41.39642104092449)
287,Calvet - Diagonal,POINT (2.14498346458106 41.393459611112604)
289,Balmes - Diagonal,POINT (2.1540221935225805 41.39577622405769)
291,Carles III - Mejía Lequerica,POINT (2.1275194022250865 41.38524018408026)
293,Av Joan XXIII - Pl Pius XII,POINT (2.122613823135531 41.38564083002987)
295,González Tablas - Sor Eulàlia d'Anzizu,POINT (2.1088590973273735 41.385765331972756)
296,Av Doctor Marañón - Baldiri i Reixac,POINT (2.113965286176475 41.382055319706915)
297,Av Pedralbes - Pg Manuel Girona,POINT (2.118936206892937 41.3900023814718)
300,Pujades - Ciutat de Granada,POINT (2.196766926610461 41.39878026113596)
306,Pg Verdum - Doctor Pi i Molist,POINT (2.172374550610133 41.43586911463085)
307,Av Gaudí,POINT (2.175154379334398 41.41003186224379)
308,València - Dos de Maig,POINT (2.18180444703651 41.406488407057125)
309,Diagonal - Complex Esportiu Universitari,POINT (2.107874023218739 41.383268251059626)
310,Diagonal - Av Doctor Marañón,POINT (2.1116123869112986 41.38422160568104)
312,Comte d'Urgell - Gran Via,POINT (2.157997621461306 41.38266808324354)
